AD,ED,County,Candidate,Tally
23,063,Queens,Irene Estrada,2
23,063,Queens,Jim Walden,0
23,063,Queens,Joseph Hernandez,0
23,063,Queens,Zohran Kwame Mamdani,153
23,064,Queens,Andrew M. Cuomo,48
23,064,Queens,Curtis A. Sliwa,8
23,064,Queens,Eric L. Adams,0
23,064,Queens,Irene Estrada,0
23,064,Queens,Jim Walden,0
23,064,Queens,Joseph Hernandez,1
23,064,Queens,Zohran Kwame Mamdani,70
23,065,Queens,Andrew M. Cuomo,134
23,065,Queens,Curtis A. Sliwa,18
23,065,Queens,Eric L. Adams,3
23,065,Queens,Irene Estrada,1
23,065,Queens,Jim Walden,1
23,065,Queens,Joseph Hernandez,0
23,065,Queens,Zohran Kwame Mamdani,215
23,066,Queens,Andrew M. Cuomo,203
23,066,Queens,Curtis A. Sliwa,6
23,066,Queens,Eric L. Adams,5
23,066,Queens,Irene Estrada,3
23,066,Queens,Jim Walden,0
23,066,Queens,Joseph Hernandez,1
23,066,Queens,Zohran Kwame Mamdani,162
23,068,Queens,Andrew M. Cuomo,0
23,068,Queens,Curtis A. Sliwa,0
23,068,Queens,Eric L. Adams,0
23,068,Queens,Irene Estrada,0
23,068,Queens,Jim Walden,0
23,068,Queens,Joseph Hernandez,0
23,068,Queens,Zohran Kwame Mamdani,0
23,070,Queens,Andrew M. Cuomo,0
23,070,Queens,Curtis A. Sliwa,0
23,070,Queens,Eric L. Adams,0
23,070,Queens,Irene Estrada,0
23,070,Queens,Jim Walden,0
23,070,Queens,Joseph Hernandez,0
23,070,Queens,Zohran Kwame Mamdani,0
23,072,Queens,Andrew M. Cuomo,0
23,072,Queens,Curtis A. Sliwa,0
23,072,Queens,Eric L. Adams,0
23,072,Queens,Irene Estrada,0
23,072,Queens,Jim Walden,0
23,072,Queens,Joseph Hernandez,0
23,072,Queens,Zohran Kwame Mamdani,0
23,073,Queens,Andrew M. Cuomo,0
23,073,Queens,Curtis A. Sliwa,0
23,073,Queens,Eric L. Adams,0
23,073,Queens,Irene Estrada,0
23,073,Queens,Jim Walden,0
23,073,Queens,Joseph Hernandez,0
