ELECTION,SPENDERID,SPENDER_NAME,C_CODE,STRNO,STRNAME,APARTMENT,CITY,STATE,ZIP,FILING,COMMUNICATION_ID,COMMUNICATION_NAME,COMM_DATE,COMM_PURPOSECD,COMM_PURPOSE,COMM_AMNT,CANDID,CANDNAME,OFFICECD,OFFICE_BORO_DISTRICT,ALLOCATION,POSITION,MEDIA_TYPE
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6493,Mayoral Race Ad,2025-06-20,INTVID,Video (Internet),92987,2993,"Cuomo, Andrew M",1,,92986.93,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,5873,Memorial Day Ad,2025-05-23,PRINT,Print Ad,1995,2993,"Cuomo, Andrew M",1,,1995.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6531,Meta Digital Ads,2025-06-20,INTVID,Video (Internet),50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,40,7057,Not Series Video Ad,2025-10-06,TVADS,Video (TV/Cable),10500,2899,"Mamdani, Zohran K",1,,10500.0,Oppose,television
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,38,6974,Not Serious Digital Ad,2025-09-24,INTVID,Video (Internet),26666,2899,"Mamdani, Zohran K",1,,26666.0,Oppose,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,36,6933,NYC Biggest Challenges_Media,2025-09-11,INTVID,Video (Internet),9358,2899,"Mamdani, Zohran K",1,,9358.0,Oppose,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,40,7055,NYC Deserves Real Leadership Youtube Video Ad,2025-10-06,INTVID,Video (Internet),10500,2899,"Mamdani, Zohran K",1,,10500.0,Oppose,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6526,NYDN and Google Ads,2025-06-21,INTAD,Internet - Display/Banner,50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,digital_display
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6527,NYT Digital Ads,2025-06-20,INTVID,Video (Internet),50000,2993,"Cuomo, Andrew M",1,,50000.0,Support,digital_video
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6411,Print Ad Full Caribbean 6/19,2025-06-19,PRINT,Print Ad,2458,2993,"Cuomo, Andrew M",1,,2458.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6096,Print Ad Full Page Bronx,2025-06-13,PRINT,Print Ad,1604,2993,"Cuomo, Andrew M",1,,1604.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6098,Print Ad Full Page Jamaica,2025-06-13,PRINT,Print Ad,1604,2993,"Cuomo, Andrew M",1,,1604.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6413,Print Ad Full Page Jamaica 6/20,2025-06-20,PRINT,Print Ad,1604,2993,"Cuomo, Andrew M",1,,1604.0,Support,print
2025,Z193,"Fix the City, Inc.",CORP,156,"West 56th Street, 3rd Floor",,New York,NY,10019,PD,6099,Print Ad Full Page Queens,2025-06-13,PRINT,Print Ad,3515,2993,"Cuomo, Andrew M",1,,3515.0,Support,print
